REId,name_short,v_empty_pp,v_full_pp,phi_losses,phi_nonctrl,phi_capex_adj,phi_cable,sum_phi,residual_vs_current_pp
REL00093,Tekniska verken Katrineholm,-0.0023580365287267924,0.15677991535694158,-0.03475210314036932,-0.18026997946770837,0.41119903801707197,-0.0370390035233259,0.15913795188566837,-1.0023580365287268
REL00098,Kristinehamns Elnät,1.4343427465515424,1.6111958981667396,0.06970392970792234,0.07383587955603714,0.015841152816814533,0.0174721895344232,0.1768531516151972,-0.33687594490687767
REL00100,Kungälv Energi,0.7020067506505079,0.4457612735194516,0.20130098726419687,-0.40492226881591037,-0.11427838099774175,0.061654185418399024,-0.2562454771310562,-0.387228029417064
REL00103,Landskrona Energi,-0.2760983669952588,0.16607215487411953,-0.11056192041373017,0.3834917320529152,0.07933815934049368,0.08990255088969963,0.4421705218693784,-1.2760983669952588
REL00106,Lerum Energi,0.9615123507924483,0.48155538565728406,0.038537790493684915,-0.5338242083767635,-0.07159595539089254,0.08692540813880674,-0.47995696513516445,-0.24361109868875674
REL00111,Tekniska verken Linköping,-0.43162308554863804,-0.29536503266112124,0.010184450749888458,-0.43287536483780087,0.5414896558791266,0.017459311096302645,0.13625805288751677,-1.431623085548638
REL00112,Ljungby Energi,-0.43162308554863804,0.4091332937302239,-0.0298829899685632,0.8263151738824757,-0.019560854074517537,0.06388504943946696,0.8407563792788618,-1.431623085548638
REL00113,Ljusdal Elnät,1.009267905676503,0.5520937238447932,0.06412012020406235,-0.5247275661963369,0.04396155419483423,-0.040528290034269596,-0.45717418183170994,-0.34029147143661587
REL00118,Luleå Energi,0.3697783827123713,-0.4318594304211887,0.07520490668365039,-0.9371805866901144,0.04854690334464562,0.011790963528258517,-0.8016378131335599,-0.6302216172876287
REL00121,LEVA i Lysekil,0.4298732914638226,0.9896974291627947,0.02656704418755873,0.280617596782042,0.2281709999344128,0.024468496794958588,0.5598241376989721,-0.5701267085361774
REL00123,Malung-Sälens Elnät,0.9077183586784221,1.8244601098569957,-0.0639960384869224,0.7760846147639148,0.2796195626723859,-0.07496638777080473,0.9167417511785735,-0.45629489274645585
REL00126,Mellersta Skånes Kraft,1.5491356483679164,1.2622451276292246,0.10988628023880045,-0.522604003435125,0.056001993285957154,0.06982520917167556,-0.28689052073869187,-0.27532446148907974
REL00127,Mjölby Kraft,1.510905366379589,1.0681754393072174,0.017873627103428175,-0.43681548690066013,0.1304681989472256,-0.15425626622236527,-0.44272992707237163,-0.3135547434774071
REL00128,Mölndal Energi,-0.28830800598746986,-0.31064172894503805,0.018547662936845476,-0.1728875246206694,0.06555166251840105,0.06645447620785468,-0.022333722957568178,-1.2883080059874699
REL00130,Nacka Energi,1.569583941587327,1.1497179423517023,-0.06430559332016306,-0.524050151090022,0.1300593313818173,0.03843041379274306,-0.4198659992356246,-0.2480534170419273
REL00133,Norrtälje Energi,0.6868885936229363,1.2876284574723007,0.1311566278785518,0.008174549646292984,0.3744755538897267,0.08693313243479289,0.6007398638493644,-0.3138422587517957
REL00135,Nossebroortens Energi,0.6768507690918524,1.708308025395766,-0.014029055911544502,0.8171635036114973,0.152383713745613,0.07593909485834789,1.0314572563039137,-0.3231492309081476
REL00137,Nybro Elnät,0.7682181727887594,0.9398453361932679,-0.06825363600909869,0.16758381679645903,0.06933259865938289,0.0029643839577653264,0.17162716340450856,-0.23178182721124063
REL00139,Näckåns Elnät,0.8305128078287094,0.8978313220279643,-0.27882506940291407,-0.014493189256159502,0.3556855109864661,0.0049512618718624175,0.06731851419925496,-0.5447278706901095
REL00141,Nässjö Affärsverk,-0.43162308554863804,0.352907445902928,0.002866986008379091,0.649297081649274,0.0485634690125016,0.08380299478141136,0.7845305314515661,-1.431623085548638
REL00143,Olofströms Kraft,0.1881780281506762,0.2296623038487322,0.03792398695349012,0.10176157923486953,-0.055577845999031185,-0.04262344449127246,0.04148427569805601,-0.8118219718493238
REL00144,Olseröds El,1.8244601098569957,1.4939505001801745,-0.04189760065885043,0.07041162551263414,0.04711369343933051,-0.4061373279699354,-0.3305096096768212,-4.440892098500626e-16
REL00146,Oskarshamn Energi,-0.22155409697035555,0.17577637166668048,-0.14034415665342043,0.5890812677780031,-0.0584178974068585,0.0070112549193118694,0.397330468637036,-1.2215540969703556
REL00147,Oxelö Energi,-0.43162308554863804,-0.4318594304211887,0.0037307955974730245,-0.1031967667325902,0.008786041299024827,0.09044358496354173,-0.00023634487255062842,-1.431623085548638
REL00148,Partille Energi,0.8402615055146168,0.2774574976318389,-0.0628120976464456,-0.6683513397528983,0.08783836121343444,0.08052106830313173,-0.5628040078827776,-0.33957036291913933
REL00149,PiteEnergi,-0.3165197433077305,-0.4318594304211887,-0.05149860475284947,-0.1584261670829127,0.004315360313330205,0.09026972440897377,-0.11533968711345821,-1.3165197433077305
REL00152,Ronneby Miljöteknik,1.3646054137330665,0.845188651545592,-0.03691238927456264,-0.2595975991672439,-0.13075347987261582,-0.0921532938730522,-0.5194167621874746,-0.37237630384749965
REL00156,Rödeby Elverk,1.7464490264341048,1.2558749696464533,-0.005134967139068058,-0.343429325005932,-0.0861254622321265,-0.05588430241052489,-0.4905740567876514,-0.07801108342289131
REL00157,Sala-Heby Energi,-0.0629579462191443,0.0004978087827733901,0.15285505473497754,-0.16737332263442686,-0.009924875071698478,0.0878988979730655,0.0634557550019177,-1.0629579462191443
REL00158,Sandhult-Sandared,-0.43162308554863804,0.1086481180092358,-0.07908900990022671,0.5272862547546655,0.03876888757654111,0.05330507112689396,0.5402712035578738,-1.431623085548638
REL00160,SEVAB,1.3659205593887336,1.633963667292715,0.011263720914478359,0.07226504106247664,0.10805348743834209,0.07646085848868427,0.26804310790398134,-0.1528549823927694
REL00163,Sjogerstads El,1.2842043656107638,1.749113918685663,-0.019643969982657824,0.3783672799713755,0.10631526161803777,-0.00012901853185624205,0.4649095530748992,-0.39866384073166117
REL00164,Sjöbo Elnät,0.9571904349978011,0.23603890616981094,0.026458323589826735,0.01362941815962008,0.002610003918196435,-0.7638492744956333,-0.72115152882799,-0.35010727756261684
REL00167,Skurups Elverk,0.001480826481969899,1.2407601095171472,0.01637825390044534,1.0389619876704668,0.10636466709167217,0.07757437437259282,1.239279283035177,-0.9985191735180301
REL00168,Skyllbergs Bruk,0.44554022637903756,-0.34832952919131577,-0.3170179686929564,-0.8307588720753656,0.2651973046572849,0.08870978054068372,-0.7938697555703534,-0.5544597736209624
REL00169,Skånska Energi,0.3220768259426521,0.8746386772304549,0.12752164947669917,0.44956907460889467,-0.0768973699328231,0.05236849713503207,0.5525618512878028,-0.6779231740573479
REL00170,Skövde Energi,-0.08405123791748181,-0.10170474013734276,-0.0725401419744374,0.06467802801635632,-0.09929223605062153,0.08950084778884167,-0.017653502219860936,-1.0840512379174818
