REId,name_short,req_full_pp,dpp_losses,dkr_losses,kind_losses,dpp_nonctrl,dkr_nonctrl,kind_nonctrl,dpp_capex_adj,dkr_capex_adj,kind_capex_adj,dpp_cable,dkr_cable,kind_cable
REL00031,Emmaboda Elnät,1.7687882401849153,-0.055671869672080376,-390.493674104755,deduction,1.3364456939294556,9245.636884933327,deduction,0.09805890502465608,686.757599393397,deduction,-0.055671869672080376,-390.493674104755,deduction
REL00033,Halmstads Energi,-0.4318594304211887,0.008747131205366632,281.21553127463085,reward,-0.09968215403511893,-3208.2115361711676,reward,0.017610599050876807,566.1209339116758,reward,0.021813134046322347,701.1886254404653,reward
REL00035,Eskilstuna Energi,-0.1702999122069171,-0.00496360381190275,-152.4399095305689,reward,-0.4173868112267387,-12871.612324830547,deduction,-0.1628920891099228,-5010.580283604014,reward,0.02164205363399674,664.4837988102863,reward
REL00037,Falbygdens Energi,1.5404433758991365,-0.05385857027153662,-1194.9798617393099,deduction,-0.20537954039756556,-4563.687892113121,deduction,0.12613510642416337,2793.61170987695,deduction,0.020566070449490326,455.9700789207127,deduction
REL00038,Falkenberg Energi,0.26001493694285394,-0.16113226725251728,-2424.6871669630946,deduction,0.5921922133289237,8844.402435233736,reward,-0.11075101316371239,-1665.721476932782,deduction,0.01691159741845638,254.0303450136662,deduction
REL00040,Filipstad Energi,1.2235674357197857,-0.0452047716836157,-151.71005130914637,deduction,-0.4174700106809759,-1406.2489409053142,deduction,-0.11477471074980983,-385.45756721151156,deduction,0.01327106490227603,44.51264903957599,deduction
REL00043,Gislaved Energi,-0.2569060034103843,-0.004022650977708597,-22.004203602709595,reward,-0.12153079220394991,-665.5652181766741,reward,0.057374478126615,313.6498347618624,reward,0.021698501985978336,118.66187458423246,reward
REL00049,Grästorps Energi,0.41990707161247975,0.11034952216675276,563.1549503993497,deduction,-0.688663751267482,-3542.643463659423,deduction,0.0447394927589162,228.4719288772692,deduction,0.015127023207828216,77.27225764327295,deduction
REL00062,Göteborg Energi,-0.4318594304211887,0.008747131205366632,1447.3274849983572,reward,-0.09968215403511893,-16511.65109175544,reward,0.017610599050876807,2913.645572026144,reward,0.021813134046322347,3608.796303562325,reward
REL00064,Habo Kraft,1.4716645825566088,-0.04223969538876826,-273.3685164085091,deduction,0.2249192126961841,1451.7857378104163,deduction,-0.04317221636136459,-279.40622858550523,deduction,-0.1943694667019713,-1259.8290056319966,deduction
REL00067,Hallstaviks Elverk,1.3284347058846846,-0.06055347162408076,-102.03073358527354,deduction,1.4791992500434614,2454.5723884673225,reward,0.3544509914145344,594.7819078434663,deduction,0.020695484209798387,34.84311963300843,deduction
REL00072,Herrljunga Elektriska,0.6574847384069216,-0.07030353691670488,-417.24611291093515,deduction,0.6316974024223265,3722.9351384410015,deduction,0.10474552120027791,620.5729685821966,deduction,0.021112271207734956,125.18559873157847,deduction
REL00074,Hjärtums Elförening,0.6167558122133654,0.18752163986546222,420.544684924089,deduction,-0.3088635079926405,-696.1077790150212,deduction,-0.09980665264242017,-224.47307433171864,deduction,0.021137930644155034,47.48359534848487,deduction
REL00075,Hofors Elverk,-0.4318594304211887,-0.015245616636150316,-77.70434267402698,reward,-0.6348266584246476,-3255.757679795668,deduction,0.017610599050876807,89.72871005878142,reward,0.021813134046322347,111.13659131792338,reward
REL00077,Härnösand Elnät,0.8218108494908671,0.025404075747093025,335.18171914436607,deduction,-0.6717233965042535,-8924.472226928876,deduction,0.18749243515201464,2469.7876847535517,deduction,0.02100916580345391,277.20735065633744,deduction
REL00078,Härryda Energi,1.782519230780899,0.004435220613419055,85.05425688510877,deduction,-0.04194087907609667,-804.6703085869813,deduction,0.045749657379290376,876.9823244605286,deduction,0.02041961955780991,391.52515567264345,deduction
REL00080,Höganäs Energi,1.0914069773880541,0.11644219288746704,1886.8514099090498,deduction,-0.038136172476099794,-618.9165537349982,deduction,0.06310166826717367,1023.0540058513579,deduction,-0.07244448897134603,-1176.1116080557586,deduction
REL00083,Jukkasjärvi,1.584958251274693,-0.004527983488622489,-20.649813506922328,deduction,-0.0507606643938896,-231.59959568995055,deduction,0.07764287349256715,353.80083549335995,deduction,-0.23950185858230277,-1094.7944844690965,deduction
REL00085,Jämtkraft,0.8410925112328993,0.13590085229415738,9102.557784884462,deduction,-0.9833675986240964,-66603.58577872324,deduction,0.08863018895759467,5939.192089346943,deduction,0.01672144902984396,1121.3226397407343,deduction
