REId,name_short,req_base_pp,dpp_losses,dkr_losses,dpp_nonctrl,dkr_nonctrl,dpp_capex_adj,dkr_capex_adj,dpp_cable,dkr_cable
REL00029,Övertorneå Energi,-0.30556811777679993,0.06526299383348144,248.52720465671518,0.34714931627066736,1325.7124824362418,0.27998362908544516,1068.4975406903036,0.1611374845862601,614.2151675843273
REL00030,Eksjö Elnät,-0.43162308554863804,0.026679593077205688,125.6976261408231,1.1151036209871568,5311.2929904974635,0.04605501151337954,217.02466670325362,0.16174828239505779,763.0893904259583
REL00031,Emmaboda Elnät,1.1789134117491828,-0.580234399900359,-3997.1546817246067,0.6455466981078128,4501.604375017552,-0.11329983187098325,-784.1383678323336,-0.5845375867858049,-4026.62648294407
REL00033,Halmstads Energi,-0.43162308554863804,0.026679593077205688,858.0431115723841,-0.054816441224003754,-1761.5137905811116,0.04605501151337954,1481.4640977976378,0.16174828239505779,5209.037076288236
REL00035,Eskilstuna Energi,0.007617176510144041,-0.01104260250927025,-340.29022873352534,-0.016929023961942402,-521.6562264583558,0.24215045941535784,7481.055862460459,0.15963317151648226,4927.6787642214895
REL00037,Falbygdens Energi,1.6746934252111823,-0.01843609901726051,-409.84536658232537,-0.26303359285659855,-5833.225981057312,0.14976668464581344,3334.959864374425,0.0014444710047190057,32.11777460130543
REL00038,Falkenberg Energi,0.12825135968532742,-0.12825135968532742,-1919.2709513596228,0.3390888957645055,5098.192270598444,-0.45449022664808547,-6779.27003451731,-0.23474707775660297,-3509.2337567919
REL00040,Filipstad Energi,1.7272302908156068,-0.06178449355314086,-209.21412889344538,-0.3820889381412895,-1289.7242972098038,0.03271045725969923,110.86768761217536,0.08255868708442193,279.9598658913674
REL00043,Gislaved Energi,-0.25140291656797764,0.0022930002191778875,12.5440488417903,-0.07386593919443962,-403.78175776420403,0.023553383261953886,128.87817806251542,-0.018471886585602615,-101.03098783194127
REL00049,Grästorps Energi,1.120513581324567,-0.2344531588805765,-1211.8287214905904,-0.8787368819683117,-4512.960628176008,0.00981237267791979,50.84100086777653,-0.10022844470707337,-518.7472626806457
REL00062,Göteborg Energi,-0.43162308554863804,0.026679593077205688,4416.076783040262,-0.054816441224003754,-9065.954902120575,0.06976919890923083,11553.370242362158,0.16174828239505779,26809.26795442465
REL00064,Habo Kraft,1.3705408658547746,0.05450044775290319,352.05347714031996,0.1973820136552451,1276.8280859531696,-0.02609056919506969,-168.4009399335664,0.07284846459467698,470.66088845391096
REL00067,Hallstaviks Elverk,-0.43162308554863804,0.026679593077205688,43.38829458758016,1.4451806675899292,2383.906688804012,0.2019678135562697,329.0322404498312,0.16174828239505779,263.40312291470997
REL00072,Herrljunga Elektriska,-0.2070940722219694,-0.04798172414822721,-279.5611805771896,0.7677418023778859,4509.854269409591,0.05365297391297652,312.9224102324745,0.14309512921028,835.3270848046448
REL00074,Hjärtums Elförening,0.6691845972409238,0.16593107830156217,373.82860449265854,-0.2106348771817368,-472.76480409338944,-0.17839491073954328,-400.53167128041196,0.1275599159886731,287.2717579021962
