REId,name_short,phi_mechanic,phi_input,reconciliation,interaction,residual_total,C1_legacy_2in,C4_twosided_1in,published
REL00038,Falkenberg Energi,-0.759611043628794,-0.11213759668587953,8.881784197001252e-16,-0.22427519337175905,-0.8717486403146726,1.0000000000000009,0.12825135968532742,1.0
REL00040,Filipstad Energi,-0.04861490952069447,-0.04861490952069447,-4.440892098500626e-16,-0.09722981904138894,-0.09722981904138939,1.8244601098569957,1.7272302908156068,1.8244601098569961
REL00043,Gislaved Energi,-1.1995813881126416,-0.05182152845533694,8.881784197001252e-16,-0.10364305691067388,-1.2514029165679776,1.0000000000000009,-0.25140291656797764,1.0
REL00049,Grästorps Energi,-0.5705197463681699,0.6910333276927361,8.881784197001252e-16,0.31661776539806397,0.12051358132456702,1.0000000000000009,1.120513581324567,1.0
REL00062,Göteborg Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00064,Habo Kraft,-0.27470668381497365,-0.11070925505058948,-0.026784673818047278,-0.26897201907178925,-0.4122006126836104,1.7559568047203378,1.3705408658547746,1.782741478538385
REL00067,Hallstaviks Elverk,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00072,Herrljunga Elektriska,-1.0900954654272654,-0.11699860679470486,8.881784197001252e-16,-0.23399721358940972,-1.2070940722219694,1.0000000000000009,-0.2070940722219694,1.0
REL00074,Hjärtums Elförening,-0.28440382560115385,-0.04641157715792321,8.881784197001252e-16,-0.2666606209938305,-0.33081540275907617,1.0000000000000009,0.6691845972409238,1.0
REL00075,Hofors Elverk,-0.7741595968371762,-0.13076683948274326,8.881784197001252e-16,-0.2615336789654865,-0.9049264363199185,1.0000000000000009,0.09507356368008146,1.0
REL00077,Härnösand Elnät,-0.27696670412239444,-0.12441664287760057,-0.003689900681713487,-0.27127213130782035,-0.4050732476817085,1.4896091410408596,1.0882257940408646,1.493299041722573
REL00078,Härryda Energi,0.0,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,1.8244601098569957,1.8244601098569957,1.8244601098569961
REL00080,Höganäs Energi,-0.27912574453418104,-0.09478242364325817,0.20619724050510246,-0.2732021986221467,-0.16771092767233675,1.2061972405051025,0.8322890723276632,1.0
REL00083,Jukkasjärvi,-0.07067448056458092,0.40989869875264207,-0.012912588205082454,0.14134896112916184,0.3263116299829787,1.4852358916689345,1.8244601098569957,1.498148479874017
REL00085,Jämtkraft,-0.11054552178082488,-0.11054552178082488,-4.440892098500626e-16,-0.22109104356164977,-0.2210910435616502,1.8244601098569957,1.603369066295346,1.8244601098569961
REL00086,Jönköping Energi,-0.8280509115013046,0.2791911656407631,8.881784197001252e-16,0.5583823312815261,-0.5488597458605406,1.0000000000000009,0.45114025413945935,1.0
REL00087,Kalmar Energi,-1.051380664082574,-0.13037308025594663,8.881784197001252e-16,-0.26074616051189325,-1.1817537443385198,1.0000000000000009,-0.18175374433851976,1.0
REL00090,Karlskoga Elnät,-0.2784518609072695,-0.1336667272135328,-0.009178258082220836,-0.2727861653052166,-0.4212968462030231,1.3163976512060582,0.904279063085256,1.325575909288279
REL00091,Affärsverken Karlskrona,-0.22077341683024443,-0.04897833630317372,-0.014182602978851655,-0.16141017436726024,-0.2839343561122698,1.7927333589765393,1.5229816058431211,1.806915961955391
REL00092,Karlstads Elnät,-0.38670131632815297,-0.12670348300459766,8.881784197001252e-16,-0.2534069660091953,-0.5134047993327497,1.0000000000000009,0.48659520066725026,1.0
REL00093,Tekniska verken Katrineholm,-0.8792687009586686,-0.12308933557005908,8.881784197001252e-16,-0.24617867114011815,-1.0023580365287268,1.0000000000000009,-0.0023580365287267924,1.0
REL00098,Kristinehamns Elnät,-0.26568309700829573,0.1908815958092669,-0.2620744437078488,-0.24886853259431518,-0.33687594490687767,1.5091442477505712,1.4343427465515424,1.77121869145842
REL00100,Kungälv Energi,-0.2801869576005256,-0.10154161775322024,-0.005499454063318199,-0.2742844254007615,-0.387228029417064,1.0837353260042537,0.7020067506505079,1.089234780067572
REL00103,Landskrona Energi,-1.2119291133262822,-0.06416925366897752,8.881784197001252e-16,-0.12833850733795504,-1.2760983669952588,1.0000000000000009,-0.2760983669952588,1.0
REL00106,Lerum Energi,-0.2779919508688944,-0.12921195734064694,0.1635928095207846,-0.2723072696953599,-0.24361109868875674,1.3687162590019897,0.9615123507924483,1.205123449481205
REL00111,Tekniska verken Linköping,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00112,Ljungby Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00113,Ljusdal Elnät,-0.27785479287538717,-0.00852306546590409,-0.05391361309532461,-0.27141688534575437,-0.34029147143661587,1.2956457640177943,1.009267905676503,1.349559377113119
REL00118,Luleå Energi,-0.5597719146972713,-0.07044970259035832,8.881784197001252e-16,-0.14089940518071664,-0.6302216172876287,1.0000000000000009,0.3697783827123713,1.0
REL00121,LEVA i Lysekil,-0.45226339083419553,-0.11786331770198277,8.881784197001252e-16,-0.23572663540396555,-0.5701267085361774,1.0000000000000009,0.4298732914638226,1.0
REL00123,Malung-Sälens Elnät,-0.27844447985970744,-0.12376174393023964,-0.05408866895650877,-0.2727167866191982,-0.45629489274645585,1.3099245824683692,0.9077183586784221,1.364013251424878
REL00126,Mellersta Skånes Kraft,-0.1415604240433188,-0.1337640374457605,-4.440892098500626e-16,-0.267528074891521,-0.27532446148907974,1.8244601098569957,1.5491356483679164,1.8244601098569961
REL00127,Mjölby Kraft,-0.18574539246651867,-0.12780935101088797,-4.440892098500626e-16,-0.25561870202177595,-0.3135547434774071,1.8244601098569957,1.510905366379589,1.8244601098569961
REL00128,Mölndal Energi,-1.2180339328223877,-0.07027407316508305,8.881784197001252e-16,-0.1405481463301661,-1.2883080059874699,1.0000000000000009,-0.28830800598746986,1.0
REL00130,Nacka Energi,-0.16326831299936506,-0.09160785527030368,0.006822751227741453,-0.18321571054060737,-0.2480534170419273,1.8244601098569957,1.569583941587327,1.8176373586292542
REL00133,Norrtälje Energi,-0.2853634384695103,-0.027747967907554294,-0.0007308523747311391,-0.2643043955904867,-0.3138422587517957,1.0000000000000009,0.6868885936229363,1.000730852374732
REL00135,Nossebroortens Energi,-0.6090762366208535,0.285927005712705,8.881784197001252e-16,0.382873467519973,-0.3231492309081476,1.0000000000000009,0.6768507690918524,1.0
REL00137,Nybro Elnät,-0.3753415495569179,0.14355972234567638,8.881784197001252e-16,-0.08234454762137133,-0.23178182721124063,1.0000000000000009,0.7682181727887594,1.0
REL00139,Näckåns Elnät,-0.27927457662163535,-0.0313789842537715,-0.23407430981470267,-0.27294811684013265,-0.5447278706901095,1.1411663687041163,0.8305128078287094,1.375240678518819
REL00141,Nässjö Affärsverk,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00143,Olofströms Kraft,-0.9797909157533147,0.16796894390398998,8.881784197001252e-16,0.33593788780797995,-0.8118219718493238,1.0000000000000009,0.1881780281506762,1.0
REL00144,Olseröds El,-0.07009899593083402,0.13313006548693052,-0.06303106955609694,0.14019799186166804,-4.440892098500626e-16,1.7614290403008992,1.8244601098569957,1.8244601098569961
REL00146,Oskarshamn Energi,-1.103839961064168,-0.1177141359061884,8.881784197001252e-16,-0.2354282718123768,-1.2215540969703556,1.0000000000000009,-0.22155409697035555,1.0
REL00147,Oxelö Energi,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
