REId,name_short,controllable,opexp_dea,loss_valued,nonctrl_selected,grid_subscription,grid_connection,feed_in,capacity_reserve,capex_unadj,capex_adj,opex_new,totex_new,totex_unadj,application_base_new,capex_cut,capex_cut_pct,cable_ded,cable_eff_pct,station_ded,station_eff_pct,eff_new,rank_new,req_new_pct,kr_new,e75,gap,kind,eff_cur,rank_cur,req_cur_pct,kr_cur,d_eff,d_rank,d_req_pp,d_kr,CU,MW,NS,MWhl,MWhh,cable_length_km,jordkabel_km,luftledning_km,city_km,tatort_km,lb_km,density_cu_km,jordkabel_share,luftledning_share,urbanity_index,jordkabel_landsbygd_share
REL00157,Sala-Heby Energi,33457.052539647695,33457.0525396477,6233.962339089885,20825.0,18725.0,0.0,2100.0,0.0,44817.88634177817,35735.04508709538,60516.01487873759,96251.05996583297,105333.90122051575,105201.01668552903,9082.84125468279,0.2026610801191662,294167629.3229984,0.43709835325567703,14081571.0,0.1134685256141808,0.92983977,38,6.729148872852697e-05,70.79609409952135,0.9309165425,0.001076772500000045,deduction,0.946702495086936,46,0.01,3379.3299263376407,-0.016862725086936092,-8,-0.9932708511271473,-3308.5338322381194,13806.25,47.0,522.25,164146.5,33995.75,1298.0203224769034,1085.8204074769033,193.56323700000002,0.0,479.241668993196,556.5787384837073,10.636389708949002,0.8365203446159635,0.1491218848027275,0.3219020513590485,0.5125882094784135
REL00158,Sandhult-Sandared,6909.545038089432,6909.545038089432,813.7152161296436,9523.0,9222.5,0.0,300.5,0.0,12063.17468929075,8181.4031891645,17246.260254219076,25427.663443383575,29309.434943509827,30299.366145144668,3881.7715001262504,0.32178689276317507,112780180.275,0.5149865230866809,5835606.0,0.19581168904923685,0.90105137,46,0.0018613697829623632,565.0340046061621,0.9309165425,0.02986517249999998,deduction,1.0,1,0.01,697.8986656676734,-0.09894862999999998,45,-0.8138630217037637,-132.86466106151136,3556.5,16.7425,81.25,54726.75,0.0,334.83299999999997,331.64,1.894,0.34199999999999997,181.462,120.43599999999999,10.621712913601707,0.9904639029008492,0.005656551176258015,0.4735282488611828,0.3631528163068387
REL00160,SEVAB,38471.843938577236,38389.86198990515,7972.902009703295,44835.0,44835.0,0.0,0.0,0.0,94932.54745284264,78184.104982332,91197.76399960845,169381.86898194044,186130.3114524511,207108.67006350803,16748.442470510636,0.17642466066583073,440428012.181,0.3850399020985594,17633679.0,0.04267299236123802,0.6675386,136,0.01606960665728141,33820.68102334143,0.9309165425,0.2633779425,deduction,0.75140361728714,116,0.01518775541781503,6358.5643897256605,-0.08386501728714002,20,0.08818512394663802,27462.11663361577,17786.75,77.0,603.75,229459.75,75519.0,1752.04025,1673.61625,59.897,52.082,609.376,897.011,10.152021336267817,0.9552384712622898,0.03418699998473208,0.33297028658512706,0.5359717318710308
REL00163,Sjogerstads El,9770.45388808943,9770.45388808943,1227.3538099756754,9523.25,7725.0,1575.0,223.25,0.0,15316.63387352338,13033.705140529652,20521.057698065106,33554.76283859476,35837.69157158848,36152.02822056743,2282.9287329937288,0.14904898503450173,69327934.13659142,0.3256777903847877,3894505.839,0.07241177391156059,0.64406203,141,0.017465490973647135,6425.374998294128,0.9309165425,0.28685451250000005,deduction,0.72386760185956,121,0.01682868206342425,1672.1426015274774,-0.07980557185956005,20,0.06368089102228858,4753.232396766651,2859.0,12.4575,149.75,39596.75,50.75,468.807,418.005,50.802,3.894,102.424,277.23699999999997,6.098458427455221,0.8916355771138229,0.10836442288617704,0.19879010524233726,0.6632384780086362
REL00164,Sjöbo Elnät,22777.386444065043,22777.38644406504,3670.0062349059926,16550.0,14750.0,0.0,1800.0,0.0,41596.0493520079,32983.14300187307,42997.39267897103,75980.5356808441,84593.44203097894,88054.10759959607,8612.906350134836,0.2070606820673723,234629906.7611416,0.3786216871100762,8880270.0,0.09639662775769829,0.89344866,49,0.002333561676257645,2059.5975019546922,0.9309165425,0.037467882499999994,deduction,0.786694836297244,97,0.01307297712560418,3016.864807422975,0.10675382370275599,-48,-1.0739415449346534,-957.2673054682828,7926.0,35.695,358.0,122885.5,2056.25,1605.982,1300.674,305.308,4.661,379.2,668.813,4.935298154026633,0.8098932615683114,0.19010673843168852,0.20876528470446468,0.5142049429757187
REL00167,Skurups Elverk,6910.599932249323,6910.599932249323,1717.8431397918562,13904.25,13759.25,0.0,145.0,0.0,15128.66342863071,10488.491009638972,22532.693072041176,33021.18408168015,37661.356500671885,39237.298808243795,4640.172418991739,0.30671396986797256,132333319.59599999,0.6083471935708786,6216189.0,0.1600908606478986,0.71763884,118,0.013071326386496551,5196.315374636148,0.9309165425,0.2132777025,deduction,0.986508010219151,34,0.01,698.0052152628423,-0.268869170219151,84,0.3071326386496551,4498.310159373305,3997.75,17.525,50.0,58946.5,6385.25,253.22799999999998,253.22799999999998,0.0,8.936,202.56499999999997,11.727,15.787156238646597,1.0,0.0,0.7327227298350975,0.04631004470279748
REL00168,Skyllbergs Bruk,6409.070723983739,6409.070723983739,0.0,2569.4075000000003,2569.4075000000003,0.0,0.0,0.0,8016.518554017678,7929.88360079891,8978.47822398374,16908.361824782653,16994.99677800142,17849.629051273194,86.6349532187678,0.010807054538076075,1119670.864,0.022063866412192875,1268610.0,0.08611692245281816,0.98678179,21,-0.003510015071289896,-624.3294155823394,0.9309165425,-0.05586524749999999,reward,0.866498043880622,72,0.01,647.3482525666848,0.12028374611937798,-51,-1.3510015071289896,-1271.6776681490242,1341.5,5.0,154.75,13825.0,2988.25,334.939,159.793,170.897,0.0,0.0,146.143,4.005206918274671,0.4770809012984454,0.5102332066435977,0.0,0.914576983973015
REL00169,Skånska Energi,37245.10735987805,35199.35108401084,10597.13404022746,49982.25,39854.5,3750.0,6377.75,0.0,79932.58685717691,58005.83999361594,95778.7351242383,153784.57511785423,175711.3219814152,181075.73065844143,21926.74686356097,0.2743154916622373,614591351.4979578,0.48078929962162437,23383019.52,0.11321715921043674,0.80080507,83,0.008034614762995052,14666.101239609905,0.9309165425,0.1301114725,deduction,0.935464705748319,51,0.01,3999.455722350556,-0.13465963574831896,32,-0.19653852370049488,10666.645517259349,18974.5,92.0,618.0,258650.0,65132.75,2018.9497448620575,1860.6833296620575,158.26641519999998,16.008612207261407,966.6784049240931,777.0963125307031,9.398203223377614,0.9216095320833192,0.07839046791668079,0.4253817802164335,0.4176402830845169
REL00170,Skövde Energi,28031.04759882114,28031.04759882114,5309.491469419548,35853.25,34065.75,0.0,1787.5,0.0,68073.84812772916,47270.17393383077,69193.78906824069,116463.96300207145,137267.63719596984,141722.99146812502,20803.67419389839,0.30560449814536395,564105061.238734,0.6027994784917906,20424621.0,0.12188745143701975,0.95880173,29,-0.0017473989904146503,-2472.142527201413,0.9309165425,-0.02788518750000002,reward,1.0,1,0.01,3128.634992469405,-0.04119826999999998,28,-1.174739899041465,-5600.777519670818,20813.75,77.4,192.5,237968.25,76007.25,994.328,994.328,0.0,108.734,737.986,112.508,20.932479021007154,1.0,0.0,0.7564508578565026,0.11314978558383149
REL00171,Smedjebacken Energi,6563.997323333333,6563.997323333333,1244.6828744900931,5640.0,5150.0,0.0,490.0,0.0,11999.34698301016,8691.649188272073,13448.680197823425,22140.3293860955,25448.027180833586,25440.68138147652,3307.6977947380874,0.2756564835921027,121432202.95724341,0.5450933637988918,6089328.0,0.1780896331328897,0.90444398,45,0.0016504447070404549,420.5779473115029,0.9309165425,0.026472562499999963,deduction,0.920377616589051,56,0.01,662.9966152832567,-0.015933636589051003,-11,-0.8349555292959545,-242.4186679717538,3541.0,12.75,72.25,45654.25,9953.75,294.4667120441369,264.98325332947906,4.057398,4.8623892334936425,190.06008911813572,66.26277497784972,12.025128325775745,0.8998750707338402,0.013778800231218823,0.579249415632371,0.25006401025448527
