REId,name_short,C1_legacy_2in,C2_twosided_2in,C3_legacy_1in,C4_twosided_1in,phi_mechanic,phi_input
REL00087,Kalmar Energi,1.0000000000000009,0.06133975717981244,1.0000000000000009,-0.2227769164262483,-1.0807185796232188,-0.14205833680303037
REL00090,Karlskoga Elnät,1.2942088124325624,1.1993136494234946,1.3145012294073943,0.9432449494156225,-0.23307572150041977,-0.11788814151652005
REL00091,Affärsverken Karlskrona,1.8069159576884486,1.7134499136793435,1.8244601098569957,1.574252552473232,-0.17183680069643437,-0.06082660451878219
REL00092,Karlstads Elnät,1.0000000000000009,0.694967338406105,1.0000000000000009,0.5440006872844627,-0.380515987154717,-0.07548332556082116
REL00093,Tekniska verken Katrineholm,1.0000000000000009,0.004721009420527444,1.0000000000000009,-0.20905591808998425,-1.1021674543347293,-0.10688846375525585
REL00098,Kristinehamns Elnät,1.7712186973556143,1.6776540852775579,1.8244601098569957,1.4820966854006468,-0.21796401826720269,-0.07115799368776488
REL00100,Kungälv Energi,1.08923480580847,0.9937601346563518,1.1219557893768162,0.7485589779334889,-0.2344357412977227,-0.10624008657725836
REL00103,Landskrona Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00106,Lerum Energi,1.2051234253518617,1.1099769763534217,1.2686876240736833,0.8969235278882604,-0.23345527259193144,-0.07474462487166988
REL00111,Tekniska verken Linköping,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00112,Ljungby Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00113,Ljusdal Elnät,1.3495594027995717,1.2548199227886414,1.4228311412247674,1.0527719391960844,-0.23239934101980664,-0.06438812258368065
REL00118,Luleå Energi,1.0000000000000009,0.5302779301016303,1.0000000000000009,0.31134146149931485,-0.5791903041995283,-0.10946823430115771
REL00121,LEVA i Lysekil,1.0000000000000009,0.6723889769332692,1.0000000000000009,0.4268980050999627,-0.450356508983385,-0.12274548591665324
REL00123,Malung-Sälens Elnät,1.3640132484276757,1.2693143661678619,1.376206600718466,1.0056328188180252,-0.23263633208012724,-0.1257440975295232
REL00126,Mellersta Skånes Kraft,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.5919501030108751,-0.11625500342306028,-0.11625500342306028
REL00127,Mjölby Kraft,1.8244601098569957,1.8044596531170853,1.8244601098569957,1.538678092302903,-0.15289123714700148,-0.13289078040709112
REL00128,Mölndal Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.37120397887215884,-1.234919392028827,-0.13628458684333267
REL00130,Nacka Energi,1.8176373629239517,1.724200896022432,1.8244601098569957,1.5406171426347148,-0.1886397170619003,-0.0883805032273366
REL00133,Norrtälje Energi,1.0007308464486275,0.9050044936759427,1.106212298085829,0.7326397348875746,-0.23464945798546966,-0.03344165357558326
REL00135,Nossebroortens Energi,1.0000000000000009,0.0855292399066565,1.1072506885326794,0.7336897207753879,-0.644015863925318,0.3777055847007049
REL00137,Nybro Elnät,1.0000000000000009,0.6657358506067412,1.1764564470951644,0.8036671958256303,-0.3535267003313969,0.15719389615702628
REL00139,Näckåns Elnät,1.3752407033891467,1.2805733406132003,1.4077062583632838,1.0374802329623067,-0.23244669408846175,-0.10531377633837824
REL00141,Nässjö Affärsverk,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.3335495119590193,-1.2160921585722573,-0.11745735338676289
REL00143,Olofströms Kraft,1.0000000000000009,-0.0986348051854935,1.0000000000000009,0.15568833648560432,-0.9714732343499455,0.1271615708355489
REL00144,Olseröds El,1.8244601098569957,1.818965969177988,1.8244601098569957,1.8244601098569957,-0.002747070339503832,0.002747070339503832
