REId,name_short,v_empty,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL00038,Falkenberg Energi,0.10667934320238714,-0.10551780094025798,0.14634701328288813,0.1771189659679706,0.24229051639277355,-0.02731632365708947,-0.1462639348487671,-0.12477825616930005
REL00040,Filipstad Energi,1.8161099358449118,-0.1068923389929255,-0.46166650717962554,0.0058866134761581534,0.008350174012083933,-0.02828959539764586,0.008350174012083933,0.008350174012083933
REL00043,Gislaved Energi,-0.35944993943654024,0.10566843459767217,0.004397540745226802,0.006856076371120068,0.20466229693800742,-0.027701699805227076,0.17069383488069745,0.13616439300860872
REL00049,Grästorps Energi,1.1652626201682725,0.14240307095172433,-1.3211819036076378,0.006550770693714014,0.2806347782590146,-0.026467312745093174,0.034737042472965385,-0.09978521873588164
REL00062,Göteborg Energi,-0.38620463357431634,-0.07422390846678617,-0.1856879812244916,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL00064,Habo Kraft,1.422998863600422,0.007607945949605899,0.08189167194263547,0.006500963409883376,0.04872978600551914,-0.026265944343939474,-0.02158050761427166,0.08630187862597172
REL00067,Hallstaviks Elverk,-0.38620463357431634,-0.002418294546124855,1.4839892568653146,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.30314016403295563,0.1629190871463848
REL00072,Herrljunga Elektriska,-0.15852745670620338,0.15428731203142032,0.6230649320843606,0.0068147734429313545,-0.0023756615883496757,-0.027534701990949983,0.07772692230260114,0.1473610865280861
REL00074,Hjärtums Elförening,0.7131306360206535,0.31959782752699617,-1.1599956730343974,-0.0015441552243533607,0.7658802883121707,-0.0268255653343763,-0.1669590947839028,0.13597091441750475
REL00075,Hofors Elverk,0.13977944925784858,0.10562397930498069,-0.7344935951181686,-0.034565833084387876,0.13216380377627512,-0.02728923050827614,0.01554507151395601,0.07978393300580588
REL00077,Härnösand Elnät,1.134594505330777,0.07894723291739236,-0.6223849649954261,0.006556731107143499,0.100485966741104,-0.026491410559814632,0.28615563506615427,0.15570182793849252
REL00078,Härryda Energi,1.8244601098569957,0.0,-0.17623116478893142,0.0,0.0,0.0,0.0,0.0
REL00080,Höganäs Energi,0.6404078446644368,0.20640973869461288,0.011972591228093243,0.019561010284974145,0.1488477160745738,-0.02688379094542004,0.09983998319216258,0.09468481745260604
REL00083,Jukkasjärvi,1.77469694141279,0.049763168444205697,-0.1009864267265792,0.049763168444205697,0.0034052977279319663,-0.04072993256010182,0.049763168444205697,-0.33029998508720126
REL00085,Jämtkraft,1.5974879773780648,0.08394941731557637,-0.8707439708631526,0.006467529827736129,-0.012991187863153897,-0.02710745875837972,0.19264594452494954,0.15358971035184243
REL00086,Jönköping Energi,0.5128838529746771,0.1648653034943326,-0.6152784529565469,0.11860153706986232,0.22400143649938808,-0.02842778023852688,0.43854096190147906,0.14861623017881076
REL00087,Kalmar Energi,-0.2227769164262483,-0.020313731395527057,0.35593427949778267,-0.024287721680626984,-0.04346918982793824,-0.02758795687641813,-0.005194495177207603,0.13523822565694177
REL00090,Karlskoga Elnät,0.9432449494156225,0.022521374252471027,-0.2365230226485826,0.07221382110147445,0.019533154211814896,-0.02664242852155052,0.14694906188961188,0.029325070585861646
REL00091,Affärsverken Karlskrona,1.574252552473232,-0.016082731017230678,-0.11520286892143794,0.006681677705655531,0.037800423161327146,-0.026594689752412748,0.08587125697847586,0.07396853744361387
