REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00018,Borlänge Energi,0.7970137289596169,-0.434596521942332,-0.014349789551440941,-0.5598204057868478,0.03248103076025439,-0.06451074530665576,-0.00402293633559026,-0.23435486094756386,-0.3870325437341047,-1.2316102509019489
REL00019,Borås Elnät,0.7003063323082426,-0.06606943308916646,-0.08361421005954786,-0.8067232524784465,-0.022069220380510006,0.005773596045126667,-0.004090798566304809,0.06509392134302616,0.07925419869924738,-0.7663757653974088
REL00021,Bromölla Energi,0.592776428387598,0.9147444986843389,0.01993362536573969,0.3434730611265802,-0.016784873420396064,-0.038520505517749916,-0.004503108811518459,-0.028970632429930292,0.0473405039840158,0.3219680702967409
REL00023,C4 Elnät,0.1981255875459942,0.8710722131186177,-0.03402164753491469,0.4575184095127196,-0.01577935794648721,0.18334390659803418,0.04919916532592484,0.052326056292478676,-0.019639906675131928,0.6729466255726234
REL00024,Carlfors Bruk,,,,,,,,,,
REL00025,Degerfors Energi,0.5951987564996264,0.3993786519288278,-0.22613586298559313,-0.06951725893537605,-0.029326224354091015,-0.03170988061133167,-0.003981127971677901,0.08646821263530048,0.07838203765197072,-0.19582010457079851
REL00029,Övertorneå Energi,-0.256531580288355,0.41666981806978143,0.24292941764207654,0.15590356442707057,-0.00898765107138977,-0.06054878234707488,-0.00393826057796502,0.260239716777358,0.08760339350806107,0.6732013983581364
REL00030,Eksjö Elnät,-0.30274247559721745,0.7172978012782272,-0.07389063932829622,1.064435623763131,-0.008222623430891151,-0.002409860287920628,-0.0039508296483354,-0.043928678737025065,0.08800728454478209,1.0200402768754444
REL00031,Emmaboda Elnät,0.7912221167541533,1.794631515848022,-0.11201916672438518,0.9886920461357993,0.2089873346655284,-0.09643699916347166,-0.0058424378299929275,0.10336325592227825,-0.08333463391188747,1.0034093990938686
REL00033,Halmstads Energi,-0.38620463357431634,-0.434596521942332,-0.0644203719899372,-0.13788476572116154,-0.006204775939537252,0.013774842451329013,-0.003951223340756048,0.06158330348979614,0.08871110268225127,-0.04839188836801564
REL00035,Eskilstuna Energi,0.06277173028539362,-0.15058308453260727,-0.08604159397376777,-0.041592339489136314,-0.016161859451239657,-0.124047449852101,-0.0038994580083902223,-0.02924492856150701,0.08763281451814102,-0.2133548148180009
REL00037,Falbygdens Energi,1.6478277795715313,1.4911419106376167,-0.03400036904409011,-0.3755054049786839,-0.005879574985285106,0.0898299700251455,-0.0034053128335524777,0.16644280946441356,0.005832013418138088,-0.1566858689339145
REL00038,Falkenberg Energi,0.10667934320238714,0.3133569228660482,-0.12625251034637822,0.287786237661015,0.13193323937387158,0.13048438922159733,-0.0043880771343841295,-0.16065170667919967,-0.05223399243286083,0.2066775796636611
REL00040,Filipstad Energi,1.8161099358449118,1.3291503139298833,-0.07854615111748885,-0.39472101020028066,-0.009402612077774491,-0.015445796555220052,-0.005221603246407231,-0.014814554080885172,0.031192105363027925,-0.48695962191502856
REL00043,Gislaved Energi,-0.35944993943654024,-0.1965313441928629,0.020475423009978046,-0.09800982187085203,-0.011722464431878712,0.09072033433414092,-0.004699351506256262,0.10209329768723753,0.0640611780213079,0.16291859524367738
REL00049,Grästorps Energi,1.1652626201682725,0.4172390431132822,0.08219386017594006,-1.1162079514135193,-0.006267316247980648,0.2835779654169608,-0.0039563548697669456,0.06622635836746893,-0.05359013848409318,-0.7480235770549905
REL00062,Göteborg Energi,-0.38620463357431634,-0.434596521942332,-0.06790508637569743,-0.12284449673819188,-0.004540582141713216,0.007166859450691343,-0.003951313597387264,0.054975320489158486,0.08870741054512435,-0.04839188836801561
