reid,nf_norm,nf_obs,ug_norm,ug_obs,k_upstream,cemi4_norm,cemi4_obs,aif_a_1_obs,aif_a_2_obs,aif_a_3_obs,aif_a_4_obs,aif_a_5_obs,aif_a_6_obs,aif_o_1_obs,aif_o_2_obs,aif_o_3_obs,aif_o_4_obs,aif_o_5_obs,aif_o_6_obs,aif_a_1_norm,aif_a_2_norm,aif_a_3_norm,aif_a_4_norm,aif_a_5_norm,aif_a_6_norm,aif_o_1_norm,aif_o_2_norm,aif_o_3_norm,aif_o_4_norm,aif_o_5_norm,aif_o_6_norm,ait_a_1_obs,ait_a_2_obs,ait_a_3_obs,ait_a_4_obs,ait_a_5_obs,ait_a_6_obs,ait_o_1_obs,ait_o_2_obs,ait_o_3_obs,ait_o_4_obs,ait_o_5_obs,ait_o_6_obs,ait_a_1_norm,ait_a_2_norm,ait_a_3_norm,ait_a_4_norm,ait_a_5_norm,ait_a_6_norm,ait_o_1_norm,ait_o_2_norm,ait_o_3_norm,ait_o_4_norm,ait_o_5_norm,ait_o_6_norm,e_in,reid_original,year,ame_1,ame_2,ame_3,ame_4,ame_5,ame_6,capcost
121,.0386,.030863846,.455,.382,23126000,.0297,.0456984096570224,1.074993565244099,.0726228322860813,.1998294103161248,.1270611016968021,.2769341238193171,,.4616931951645243,.6105206015670194,.2752517874747187,.1907658832980346,.6159756827334016,,.2568,.0912,.095,.0968,.1656,,.9526,.2981,.294,.1794,.5758,,.7263521458919581,.0997801502684516,.6173285813028123,.1951695820839095,.4807852522128759,,.35059596293869,.6425276379756238,.1749222969821744,.2368942722135251,.5942136481595536,,.3453,.1353,.1167,.1127,.2205,,.7174,.2991,.2725,.1725,.6561,,140002,121,2027,52.7777397260274,3363.771917808219,3536.483904109589,1210.146575342466,8014.336529680365,,1000000
123,.0315,.027288796,.3645,.36899999,45127000,.1411,0,.1948349449012563,.0430568318340048,.0698823369694258,.0687192068863688,.2147876093590113,,.5028212485833473,.1476640805685595,.3427896128499524,.3245550719729595,.5591970525149306,,.2904,.1464,.1677,.1422,.2585,,1.59,.5325,.7855,.7123,1.1714,,.3839857973041402,.1109635281661363,.1523045310611248,.4042782863779673,.5234325730189625,,.2782639274030849,.1036700285371499,.2585871874494713,.2131470269009347,.5594619004846518,,.3001,.2261,.1895,.1978,.2836,,1.0431,.4794,.6234,.6251,1.0317,,465026,123,2025,9.468264840182648,7402.844634703197,5620.31803652968,2232.827397260274,18567.73710045662,,1000000
123,.0315,.027288796,.3645,.36899999,45127000,.1411,0,.1948349449012563,.0430568318340048,.0698823369694258,.0687192068863688,.2147876093590113,,.5028212485833473,.1476640805685595,.3427896128499524,.3245550719729595,.5591970525149306,,.2872,.1376,.1439,.1376,.2369,,1.4355,.512,.6885,.6529,1.0202,,.3839857973041402,.1109635281661363,.1523045310611248,.4042782863779673,.5234325730189625,,.2782639274030849,.1036700285371499,.2585871874494713,.2131470269009347,.5594619004846518,,.3001,.2241,.1831,.1774,.2836,,1.0431,.4794,.584,.5842000000000001,.9792999999999999,,465026,123,2026,9.468264840182648,7402.844634703197,5620.31803652968,2232.827397260274,18567.73710045662,,1000000
123,.0315,.027288796,.3645,.36899999,45127000,.1411,0,.1948349449012563,.0430568318340048,.0698823369694258,.0687192068863688,.2147876093590113,,.5028212485833473,.1476640805685595,.3427896128499524,.3245550719729595,.5591970525149306,,.284,.1288,.1201,.133,.2152,,1.2809,.4915,.5915,.5936,.869,,.3839857973041402,.1109635281661363,.1523045310611248,.4042782863779673,.5234325730189625,,.2782639274030849,.1036700285371499,.2585871874494713,.2131470269009347,.5594619004846518,,.3001,.222,.1767,.157,.2836,,1.0431,.4794,.5447,.5434,.9268,,465026,123,2027,9.468264840182648,7402.844634703197,5620.31803652968,2232.827397260274,18567.73710045662,,1000000
126,.06,.094822697,.4763,.35510001,4280000,.4658,.0057923045097228,.1005782515434994,.0910877817004221,.074760447902087,.0074286096669912,.1554345397785361,,.8934505604445498,.6288150664932446,.8105983575822479,.3695934459348577,.7987335572919468,,.5281,.4515,.5366,.4343,.614,,2.3384,2.0707,2.2406,2.0391,2.2988,,.2068744239913222,.1514483184243357,.2142739419790162,.0142381685283997,.3200170652859923,,.8583400438061115,.6744730753236183,1.381581660031261,1.246150108103199,1.506125557611665,,.907,.8637,.8568,.5326,.8038,,3.6115,3.0768,3.5663,2.6361,3.4368,,28200,126,2025,209.9503424657534,86.01141552511416,304.1373287671233,143.2970319634703,2167.073858447488,,1000000
126,.06,.094822697,.4763,.35510001,4280000,.4658,.0057923045097228,.1005782515434994,.0910877817004221,.074760447902087,.0074286096669912,.1554345397785361,,.8934505604445498,.6288150664932446,.8105983575822479,.3695934459348577,.7987335572919468,,.474,.3808,.3927,.3719,.5271,,2.137,1.5755,1.7241,1.6385,1.9356,,.2068744239913222,.1514483184243357,.2142739419790162,.0142381685283997,.3200170652859923,,.8583400438061115,.6744730753236183,1.381581660031261,1.246150108103199,1.506125557611665,,.8974,.7647,.6178,.409,.6632,,3.0112,2.0925,2.3999,1.9829,2.6622,,28200,126,2026,209.9503424657534,86.01141552511416,304.1373287671233,143.2970319634703,2167.073858447488,,1000000
126,.06,.094822697,.4763,.35510001,4280000,.4658,.0057923045097228,.1005782515434994,.0910877817004221,.074760447902087,.0074286096669912,.1554345397785361,,.8934505604445498,.6288150664932446,.8105983575822479,.3695934459348577,.7987335572919468,,.4199,.3102,.2488,.3095,.4401,,1.9357,1.0803,1.2076,1.2378,1.5723,,.2068744239913222,.1514483184243357,.2142739419790162,.0142381685283997,.3200170652859923,,.8583400438061115,.6744730753236183,1.381581660031261,1.246150108103199,1.506125557611665,,.8877,.6656,.3787,.2854,.5226,,2.4109,1.1081,1.2335,1.3298,1.8875,,28200,126,2027,209.9503424657534,86.01141552511416,304.1373287671233,143.2970319634703,2167.073858447488,,1000000
127,.0303,.02584628,.42,.29820001,17780000,.0034,.0509190457567462,.2690650792298093,.0433886728574265,.029723329107666,.0520127498265395,.1151714639103415,,.9184927532522443,.7617022241042795,.9671085981299027,1.717065796833318,1.39988587434386,,.3369,.0315,.0358,.1232,.1868,,.6835,.1625,.2396,.383,.3678,,.6633538038093781,.0897290974227714,.0456586831803983,.0920989147909676,.2912136404315521,,.5833090131755431,.4399060905477645,.6777949785924384,.9802115446592486,.938063114808997,,.4812,.018,.0244,.093,.217,,.7556,.0966,.1575,.3063,.2811,,306311,127,2025,1962.421803652968,5338.945776255708,6251.658105022831,2868.514269406392,8017.878652968036,,1000000
127,.0303,.02584628,.42,.29820001,17780000,.0034,.0509190457567462,.2690650792298093,.0433886728574265,.029723329107666,.0520127498265395,.1151714639103415,,.9184927532522443,.7617022241042795,.9671085981299027,1.717065796833318,1.39988587434386,,.3043,.0315,.0358,.1198,.1868,,.6835,.1625,.2396,.383,.3678,,.6633538038093781,.0897290974227714,.0456586831803983,.0920989147909676,.2912136404315521,,.5833090131755431,.4399060905477645,.6777949785924384,.9802115446592486,.938063114808997,,.4373,.018,.0244,.093,.217,,.7556,.0966,.1575,.3063,.2811,,306311,127,2026,1962.421803652968,5338.945776255708,6251.658105022831,2868.514269406392,8017.878652968036,,1000000
127,.0303,.02584628,.42,.29820001,17780000,.0034,.0509190457567462,.2690650792298093,.0433886728574265,.029723329107666,.0520127498265395,.1151714639103415,,.9184927532522443,.7617022241042795,.9671085981299027,1.717065796833318,1.39988587434386,,.2716,.0315,.0358,.1165,.1868,,.6835,.1625,.2396,.383,.3678,,.6633538038093781,.0897290974227714,.0456586831803983,.0920989147909676,.2912136404315521,,.5833090131755431,.4399060905477645,.6777949785924384,.9802115446592486,.938063114808997,,.3935,.018,.0244,.093,.217,,.7556,.0966,.1575,.3063,.2811,,306311,127,2027,1962.421803652968,5338.945776255708,6251.658105022831,2868.514269406392,8017.878652968036,,1000000
