subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00139,REL03050,False,1.6754293425444953
0,(baseline),REL00141,REL00016,False,0.014059392260299067
0,(baseline),REL00141,REL00033,False,0.036176492073839474
0,(baseline),REL00141,REL00062,False,0.020224091173363528
0,(baseline),REL00141,REL00067,False,0.022270930520582433
0,(baseline),REL00141,REL00191,False,0.10359348693936837
0,(baseline),REL00143,REL00033,False,0.02530797701705129
0,(baseline),REL00143,REL00255,False,1.8701928206505556
0,(baseline),REL00143,REL00944,False,0.129504950847438
0,(baseline),REL00143,REL03042,False,0.7529848029977959
0,(baseline),REL00144,REL00111,False,0.002384418623745701
0,(baseline),REL00144,REL00191,False,0.0010037249082187518
0,(baseline),REL00144,REL03042,False,0.009937566462763808
0,(baseline),REL00144,REL03050,False,5.437222981936657
0,(baseline),REL00146,REL00112,False,0.38346707911271444
0,(baseline),REL00146,REL00585,False,0.12208309110552236
0,(baseline),REL00146,REL03042,False,1.0468812438368387
0,(baseline),REL00147,REL00147,True,1.0
0,(baseline),REL00148,REL00016,False,0.005480266230717196
0,(baseline),REL00148,REL00062,False,0.015068328420283397
0,(baseline),REL00148,REL00067,False,6.22644580849675
0,(baseline),REL00149,REL00003,False,4.120800603163059
0,(baseline),REL00149,REL00015,False,0.32153323606761386
0,(baseline),REL00149,REL00158,False,1.7945808005697133
0,(baseline),REL00149,REL00824,False,0.12490089615713577
0,(baseline),REL00149,REL03042,False,0.281782116618819
0,(baseline),REL00152,REL00033,False,0.02350342976737561
0,(baseline),REL00152,REL00112,False,0.5284412745177276
0,(baseline),REL00152,REL00585,False,0.10494773058438024
0,(baseline),REL00152,REL03042,False,0.7362884924153885
0,(baseline),REL00156,REL00003,False,2.1991527479642774
0,(baseline),REL00156,REL00033,False,0.007709486503763686
0,(baseline),REL00156,REL00158,False,0.2745626805008361
0,(baseline),REL00156,REL03050,False,8.031833751315208
0,(baseline),REL00157,REL00003,False,4.8663479864625945
0,(baseline),REL00157,REL00191,False,0.3600286933178451
0,(baseline),REL00157,REL03042,False,0.15085677460917118
0,(baseline),REL00157,REL03050,False,7.694032786183288
0,(baseline),REL00158,REL00158,True,1.0
0,(baseline),REL00160,REL00003,False,4.707064296869616
0,(baseline),REL00160,REL00158,False,1.0699787614451375
